ticket,type,sample,open_time,close_time,size,pl,commission_swap,commission_applied,mae,mfe,balance,is_balance,is_canceled,is_pending,open_price,close_price,is_long,is_short,slippage_money,bars_in_trade,close_type,exit_index,stop_loss,take_profit
690,2,11,1695826800000,1695826800000,3.0,-10.0,-6.0,true,0.0,0.0,50981.52,false,false,false,33509.5,33509.5,false,true,4.0,0,3,-1,33659.5,33509.0
714,2,11,1696338000000,1696338000000,3.0,-10.0,-6.0,true,0.0,0.0,50971.52,false,false,false,33249.9,33249.9,false,true,4.0,0,3,-1,33399.9,33250.0
723,1,11,1696899600000,1697037420000,4.0,153.46,-8.0,true,97.116,536.464,51124.98,false,false,false,33629.266,33712.0,true,false,4.0,38,2,-1,33504.266,34224.0
838,2,11,1697733420000,1697733420000,3.0,-10.0,-6.0,true,0.0,0.0,51114.98,false,false,false,33502.0,33502.0,false,true,4.0,0,3,-1,33652.0,33502.0
841,2,11,1697742000000,1697742000000,3.0,-10.0,-6.0,true,0.0,0.0,51104.98,false,false,false,33469.75,33469.75,false,true,4.0,0,3,-1,33619.75,33470.0
844,2,11,1698051840000,1698051840000,3.0,-10.0,-6.0,true,0.0,0.0,51094.98,false,false,false,33035.0,33035.0,false,true,4.0,0,3,-1,33185.0,33035.0
859,2,11,1698408000000,1698408000000,3.0,-10.0,-6.0,true,0.0,0.0,51084.98,false,false,false,32700.59,32700.59,false,true,4.0,0,3,-1,32850.59,32701.0
862,1,11,1698850800000,1698855300000,4.0,-262.42,-8.0,true,250.418,64.16,50822.56,false,false,false,33236.21,33111.0,true,false,4.0,2,2,-1,33111.21,33831.0
887,1,11,1703620800000,1703862000000,4.0,285.0,-8.0,true,173.92,417.16,51107.56,false,false,false,37574.5,37723.0,true,false,4.0,65,16,-1,37449.5,38169.0
1076,2,11,1704682800000,1704682800000,3.0,-10.0,-6.0,true,0.0,0.0,51097.56,false,false,false,37340.0,37340.0,false,true,4.0,0,3,-1,37490.0,37340.0
1091,2,11,1705431120000,1705431120000,3.0,-10.0,-6.0,true,0.0,0.0,51087.56,false,false,false,37273.0,37273.0,false,true,4.0,0,3,-1,37423.0,37273.0
1097,2,11,1705522440000,1705522440000,3.0,-10.0,-6.0,true,0.0,0.0,51077.56,false,false,false,37172.0,37172.0,false,true,4.0,0,3,-1,37322.0,37172.0
1100,2,11,1705588200000,1705588200000,3.0,-10.0,-6.0,true,0.0,0.0,51067.56,false,false,false,37172.0,37172.0,false,true,4.0,0,3,-1,37322.0,37172.0
1130,1,11,1708027200000,1708090380000,4.0,-245.54,-8.0,true,233.55,48.976,50822.02,false,false,false,38757.773,38641.0,true,false,4.0,17,2,-1,38632.773,39353.0
1219,1,11,1710338400000,1710358020000,4.0,-144.4,-8.0,true,132.398,257.0,50677.62,false,false,false,39082.2,39016.0,true,false,4.0,6,2,-1,38957.2,39677.0
1248,1,11,1710961200000,1711115160000,4.0,598.46,-8.0,true,15.976,960.0,51276.08,false,false,false,39412.773,39718.0,true,false,4.0,41,2,-1,39287.773,40008.0
1382,1,11,1711569600000,1711973340000,4.0,133.48,-8.0,true,134.52,417.0,51409.56,false,false,false,39783.26,39856.0,true,false,4.0,39,2,-1,39658.26,40378.0
1519,2,11,1712847600000,1712847600000,3.0,-10.0,-6.0,true,0.0,0.0,51399.56,false,false,false,38238.703,38238.703,false,true,4.0,0,3,-1,38388.703,38239.0
1540,1,11,1713808800000,1713814380000,4.0,-262.52,-8.0,true,250.526,83.976,51137.04,false,false,false,38413.26,38288.0,true,false,4.0,2,2,-1,38288.26,39008.0
1550,1,11,1714690800000,1714746300000,4.0,221.58,-8.0,true,44.4,703.568,51358.62,false,false,false,38455.215,38572.0,true,false,4.0,16,2,-1,38330.215,39050.0
1605,2,11,1716476400000,1716476400000,3.0,-10.0,-6.0,true,0.0,0.0,51348.62,false,false,false,39375.273,39375.273,false,true,4.0,0,3,-1,39525.273,39375.0
1614,2,11,1716948000000,1716948000000,3.0,-10.0,-6.0,true,0.0,0.0,51338.62,false,false,false,38769.74,38769.74,false,true,4.0,0,3,-1,38919.74,38770.0
1626,2,11,1718353560000,1718353560000,3.0,-10.0,-6.0,true,0.0,0.0,51328.62,false,false,false,38454.0,38454.0,false,true,4.0,0,3,-1,38604.0,38454.0
1629,1,11,1718902800000,1718913000000,4.0,114.5,-8.0,true,64.952,455.952,51443.12,false,false,false,39008.75,39072.0,true,false,4.0,3,2,-1,38883.75,39604.0
1658,1,11,1720447200000,1720451820000,4.0,-262.42,-8.0,true,250.43,89.168,51180.7,false,false,false,39585.215,39460.0,true,false,4.0,2,2,-1,39460.215,40180.0
1692,2,11,1721908800000,1721908800000,3.0,-10.0,-6.0,true,0.0,0.0,51170.7,false,false,false,39835.098,39835.098,false,true,4.0,0,3,-1,39985.098,39835.0
1701,2,11,1722816420000,1722816420000,3.0,-10.0,-6.0,true,0.0,0.0,51160.7,false,false,false,39462.0,39462.0,false,true,4.0,0,3,-1,39612.0,39462.0
1719,1,11,1723658400000,1723760820000,4.0,1177.46,-8.0,true,128.0,1189.45,52338.16,false,false,false,40021.273,40616.0,true,false,4.0,27,3,-1,39896.273,40616.0
1810,2,11,1726063200000,1726063200000,3.0,-10.0,-6.0,true,0.0,0.0,52328.16,false,false,false,40226.805,40226.805,false,true,4.0,0,3,-1,40376.805,40227.0
1813,1,11,1726164000000,1726239600000,4.0,640.48,-8.0,true,359.096,823.576,52968.64,false,false,false,41061.76,41388.0,true,false,4.0,21,16,-1,40936.76,41657.0
1904,1,11,1728658800000,1728658800000,4.0,-12.96,-8.0,true,15.048,12.952,52955.68,false,false,false,42761.477,42761.0,true,false,4.0,0,16,-1,42636.477,43356.0
1915,2,11,1729764180000,1729764180000,4.0,-12.0,-8.0,true,0.0,0.0,52943.68,false,false,false,42411.0,42411.0,false,true,4.0,0,3,-1,42561.0,42411.0
1918,2,11,1729782000000,1729782000000,4.0,-12.0,-8.0,true,0.0,0.0,52931.68,false,false,false,42402.14,42402.14,false,true,4.0,0,3,-1,42552.14,42402.0
1936,1,11,1730858400000,1730878260000,4.0,1178.7,-8.0,true,41.024,1190.698,54110.38,false,false,false,42513.652,43109.0,true,false,4.0,6,3,-1,42388.652,43109.0
1962,2,11,1731682800000,1731682800000,4.0,-12.0,-8.0,true,0.0,0.0,54098.38,false,false,false,43520.914,43520.914,false,true,4.0,0,3,-1,43670.914,43521.0
1968,2,11,1731920400000,1731920400000,4.0,-12.0,-8.0,true,0.0,0.0,54086.38,false,false,false,43334.3,43334.3,false,true,4.0,0,3,-1,43484.3,43334.0
1974,2,11,1732010400000,1732010400000,4.0,-12.0,-8.0,true,0.0,0.0,54074.38,false,false,false,43133.586,43133.586,false,true,4.0,0,3,-1,43283.586,43134.0
1980,1,11,1732208400000,1732267620000,4.0,-67.58,-8.0,true,120.096,476.024,54006.8,false,false,false,43789.785,43762.0,true,false,4.0,16,2,-1,43664.785,44385.0
2054,2,11,1733765220000,1733765220000,4.0,-12.0,-8.0,true,0.0,0.0,53994.8,false,false,false,44544.0,44544.0,false,true,4.0,0,3,-1,44694.0,44544.0
2057,2,11,1733770800000,1733770800000,4.0,-12.0,-8.0,true,0.0,0.0,53982.8,false,false,false,44531.0,44531.0,false,true,4.0,0,3,-1,44681.0,44531.0
2063,2,11,1733932920000,1733932920000,4.0,-12.0,-8.0,true,0.0,0.0,53970.8,false,false,false,44183.0,44183.0,false,true,4.0,0,3,-1,44333.0,44183.0
2069,2,11,1733958000000,1733958000000,4.0,-12.0,-8.0,true,0.0,0.0,53958.8,false,false,false,44113.203,44113.203,false,true,4.0,0,3,-1,44263.203,44113.0
2072,2,11,1734028140000,1734028140000,4.0,-12.0,-8.0,true,0.0,0.0,53946.8,false,false,false,44032.0,44032.0,false,true,4.0,0,3,-1,44182.0,44032.0
2075,2,11,1734102000000,1734102000000,4.0,-12.0,-8.0,true,0.0,0.0,53934.8,false,false,false,43868.14,43868.14,false,true,4.0,0,3,-1,44018.14,43868.0
2078,2,11,1734372000000,1734372000000,4.0,-12.0,-8.0,true,0.0,0.0,53922.8,false,false,false,43775.74,43775.74,false,true,4.0,0,3,-1,43925.74,43776.0
