ticket,type,sample,open_time,close_time,size,pl,commission_swap,commission_applied,mae,mfe,balance,is_balance,is_canceled,is_pending
2596,1,11,1745362800000,1745366400000,4.4,-287.27,-8.8,true,274.4786,77.0,54684.773,false,false,false
2633,2,11,1748005200000,1748005200000,3.6,-11.2,-7.2,true,0.0,0.0,54673.574,false,false,false
2639,1,11,1748376000000,1748422800000,4.4,-288.88,-8.8,true,276.0714,134.0944,54384.695,false,false,false
2710,2,11,1750316400000,1750316400000,3.6,-11.2,-7.2,true,0.0,0.0,54373.496,false,false,false
2716,1,11,1750719600000,1750870800000,4.3,362.79,-8.6,true,19.195202,976.12585,54736.285,false,false,false
2850,2,11,1752451200000,1752451200000,3.6,-11.2,-7.2,true,0.0,0.0,54725.086,false,false,false
2856,1,11,1753261200000,1753340400000,4.4,299.82,-8.8,true,172.8584,698.3944,55024.906,false,false,false
2945,1,11,1755072000000,1755172800000,4.4,569.56,-8.8,true,16.6056,1015.3264,55594.47,false,false,false
3087,1,11,1757599200000,1757685600000,4.4,55.42,-8.8,true,23.2848,468.1864,55649.89,false,false,false
3191,1,11,1759464000000,1759503600000,4.5,778.08,-9.0,true,132.72299,845.064,56427.965,false,false,false
3233,2,11,1760104800000,1760104800000,3.8,-11.6,-7.6,true,0.0,0.0,56416.367,false,false,false
3245,1,11,1760464800000,1760468400000,4.5,-294.23,-9.0,true,281.22076,40.526997,56122.14,false,false,false
3255,1,11,1760983200000,1761138000000,4.5,214.29,-9.0,true,222.912,939.32104,56336.434,false,false,false
3397,2,11,1762516800000,1762516800000,3.8,-11.6,-7.6,true,0.0,0.0,56324.836,false,false,false
3400,1,11,1762880400000,1762956000000,4.5,1326.31,-9.0,true,15.813,1339.3237,57651.15,false,false,false
3474,2,11,1763442000000,1763442000000,3.8,-11.6,-7.6,true,0.0,0.0,57639.547,false,false,false
3477,2,11,1763470800000,1763470800000,3.8,-11.6,-7.6,true,0.0,0.0,57627.945,false,false,false
3489,2,11,1763571600000,1763571600000,3.8,-11.6,-7.6,true,0.0,0.0,57616.348,false,false,false
3498,1,11,1764111600000,1764342000000,4.6,1355.92,-9.2,true,27.6552,1369.1279,58972.266,false,false,false
3656,1,21,1766595600000,1766761200000,4.7,-56.03,-9.4,true,218.9636,168.871,58916.24,false,false,false
3730,1,21,1767625200000,1767643200000,4.7,283.8,-9.4,true,29.61,738.08795,59200.043,false,false,false
3762,2,21,1768935600000,1768935600000,3.9,-11.8,-7.8,true,0.0,0.0,59188.242,false,false,false
3768,2,21,1768993200000,1768993200000,3.9,-11.8,-7.8,true,0.0,0.0,59176.44,false,false,false
3771,2,21,1769000400000,1769000400000,3.9,-11.8,-7.8,true,0.0,0.0,59164.645,false,false,false
3786,2,21,1770001200000,1770001200000,3.9,-11.8,-7.8,true,0.0,0.0,59152.844,false,false,false
3804,2,21,1771592400000,1771592400000,3.9,-11.8,-7.8,true,0.0,0.0,59141.043,false,false,false
3807,2,21,1771855200000,1771855200000,3.9,-11.8,-7.8,true,0.0,0.0,59129.242,false,false,false
3810,2,21,1771862400000,1771862400000,3.9,-11.8,-7.8,true,0.0,0.0,59117.44,false,false,false
3813,2,21,1771941600000,1771941600000,3.9,-11.8,-7.8,true,0.0,0.0,59105.645,false,false,false
3822,2,21,1772434800000,1772434800000,3.9,-11.8,-7.8,true,0.0,0.0,59093.844,false,false,false
3834,2,21,1773014400000,1773014400000,3.9,-11.8,-7.8,true,0.0,0.0,59082.043,false,false,false
3852,2,21,1773910800000,1773910800000,3.9,-11.8,-7.8,true,0.0,0.0,59070.242,false,false,false
3855,2,21,1773921600000,1773921600000,3.9,-11.8,-7.8,true,0.0,0.0,59058.44,false,false,false
3861,2,21,1774004400000,1774004400000,3.9,-11.8,-7.8,true,0.0,0.0,59046.645,false,false,false
3864,2,21,1774238400000,1774238400000,3.9,-11.8,-7.8,true,0.0,0.0,59034.844,false,false,false
3876,1,21,1775023200000,1775091600000,4.7,-129.37,-9.4,true,115.974846,812.9778,58905.47,false,false,false
3966,1,21,1777561200000,1777647600000,4.7,543.71,-9.4,true,173.84358,1285.5345,59449.184,false,false,false
4043,1,21,1778079600000,1778083200000,4.8,-312.69,-9.6,true,335.6112,46.929604,59136.496,false,false,false
4059,1,21,1779386400000,1779462000000,4.7,927.49,-9.4,true,380.33807,1161.7694,60063.99,false,false,false
4129,2,21,1780898400000,1780898400000,4.0,-12.0,-8.0,true,0.0,0.0,60051.99,false,false,false
4138,2,21,1781107200000,1781107200000,4.0,-12.0,-8.0,true,0.0,0.0,60039.99,false,false,false
4147,1,21,1781478000000,1781614800000,4.8,1415.55,-9.6,true,152.496,1429.1641,61455.543,false,false,false
4288,2,21,1783526400000,1783526400000,4.1,-12.2,-8.2,true,0.0,0.0,61443.344,false,false,false
4312,2,21,1784559600000,1784559600000,4.1,-12.2,-8.2,true,0.0,0.0,61431.14,false,false,false
4321,1,21,1785254400000,1785261600000,4.9,-320.29,-9.8,true,306.49255,100.4206,61110.848,false,false,false
4339,1,21,1785747600000,1785837600000,4.9,1444.34,-9.8,true,110.2794,1458.1445,62555.188,false,false,false
4423,2,21,1786935600000,1786935600000,4.2,-12.4,-8.4,true,0.0,0.0,62542.79,false,false,false
4426,2,21,1787058000000,1787058000000,4.2,-12.4,-8.4,true,0.0,0.0,62530.39,false,false,false
4429,2,21,1787065200000,1787065200000,4.2,-12.4,-8.4,true,0.0,0.0,62517.99,false,false,false
4435,1,21,1787648400000,1787662800000,5.0,-96.72,-10.0,true,82.71751,413.72003,62421.266,false,false,false
